guestId,confirmationId,groupName,name,lastname,allergies,otherAllergies,comments,outboundBus,returnBus,menu,createdAt,updatedAt
guest_001,conf_001,Familia Garcia Ruiz,Elena,Garcia Ruiz,,,Prefiere sitio cerca de la salida,18:00,3:00,Carne,2026-06-01T10:00:00.000Z,2026-06-01T10:00:00.000Z
guest_002,conf_001,Familia Garcia Ruiz,Manuel,Santos Vega,,Sin cilantro,,18:00,3:00,Pescado,2026-06-01T10:00:00.000Z,2026-06-01T10:00:00.000Z
guest_003,conf_001,Familia Garcia Ruiz,Lucia,Santos Garcia,Gluten,,,18:00,3:00,Carne,2026-06-01T10:00:00.000Z,2026-06-01T10:00:00.000Z
guest_004,conf_001,Familia Garcia Ruiz,Alvaro,Santos Garcia,,,Menu infantil si es posible,18:00,3:00,Carne,2026-06-01T10:00:00.000Z,2026-06-01T10:00:00.000Z
guest_005,conf_001,Familia Garcia Ruiz,Carmen,Ruiz Molina,Lactosa,,,No,No,Pescado,2026-06-01T10:00:00.000Z,2026-06-01T10:00:00.000Z
guest_006,conf_002,Primos Lopez Moreno,Javier,Lopez Moreno,,,Llega directamente desde Sevilla,No,No,Carne,2026-06-01T10:05:00.000Z,2026-06-01T10:05:00.000Z
guest_007,conf_002,Primos Lopez Moreno,Patricia,Campos Leon,Vegetariano,,,No,No,Pescado,2026-06-01T10:05:00.000Z,2026-06-01T10:05:00.000Z
guest_008,conf_002,Primos Lopez Moreno,Marcos,Lopez Campos,,,Trona para el pequeno,No,No,Carne,2026-06-01T10:05:00.000Z,2026-06-01T10:05:00.000Z
guest_009,conf_002,Primos Lopez Moreno,Nerea,Lopez Campos,Huevo,,,No,No,Pescado,2026-06-01T10:05:00.000Z,2026-06-01T10:05:00.000Z
guest_010,conf_003,Amigos Universidad,Raul,Fernandez Prieto,,,Quiere estar con Laura y Sergio,18:20,6:00,Carne,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
