"email","telefono","nombre_grupo","nombre","apellidos","alergias","bus_ida","bus_vuelta","comentarios"
"familia.romero.silva@example.com","+34 611 240 018","Familia Romero Silva","Javier","Romero Silva","No","18:00","3:00",""
"familia.romero.silva@example.com","+34 611 240 018","Familia Romero Silva","Marta","Lopez Carmona","Lactosa","18:00","3:00","Leche sin lactosa tambien en el cafe"
"familia.romero.silva@example.com","+34 611 240 018","Familia Romero Silva","Claudia","Romero Lopez","No","18:00","3:00",""
"familia.romero.silva@example.com","+34 611 240 018","Familia Romero Silva","Nicolas","Romero Lopez","Frutos secos","18:00","3:00","Alergia severa a nueces y almendras"
"ana.martin@example.com","+34 622 518 304","Ana Martin","Ana","Martin Prieto","Vegetariano","No","No",""
"pareja.cano.rivas@example.com","+34 633 725 441","Cano Rivas","Luis","Cano Morales","No","18:20","6:00",""
"pareja.cano.rivas@example.com","+34 633 725 441","Cano Rivas","Beatriz","Rivas Nunez","Gluten","18:20","6:00","Menu celiaco por favor"
"familia.dominguez@example.com","+34 644 903 117","Familia Dominguez","Rafael","Dominguez Ferrer","No","No","6:00","Iremos en coche a la ida, pero volvemos en bus"
"familia.dominguez@example.com","+34 644 903 117","Familia Dominguez","Teresa","Ferrer Marin","No","No","6:00",""
"familia.dominguez@example.com","+34 644 903 117","Familia Dominguez","Marina","Dominguez Ferrer","Huevo","No","6:00",""
"familia.dominguez@example.com","+34 644 903 117","Familia Dominguez","Ines","Dominguez Ferrer","No","No","6:00","Necesitara trona si hay disponible"
"carlos.vega@example.com","+34 655 112 209","Carlos Vega","Carlos","Vega Leon","Marisco","18:00","3:00","Evitar trazas de crustaceos"
"grupo.primos.gil@example.com","+34 666 481 520","Primos Gil","Paula","Gil Serrano","No","18:20","6:00",""
"grupo.primos.gil@example.com","+34 666 481 520","Primos Gil","Alvaro","Gil Serrano","Pescado","18:20","6:00",""
"grupo.primos.gil@example.com","+34 666 481 520","Primos Gil","Lucia","Serrano Calvo","Soja","18:20","3:00","Prefiere vuelta temprana"
"grupo.primos.gil@example.com","+34 666 481 520","Primos Gil","Hector","Calvo Gil","No","No","No","Sale antes por su cuenta"
"familia.navarro.moya@example.com","+34 677 309 884","Familia Navarro Moya","Elena","Navarro Moya","No","18:00","6:00",""
